,zrun_comp,zrun_const,vrun_comp,vrun_const
454,1.55012,1.96176,577.2489135111966,613.6134968009765
455,0.00312,0.00318,13.170745705822082,13.57192902532976
456,0.19032,0.18838,1.2860797241368114,1.2867018773291652
457,4e-05,0.0,0.6855765245612254,0.0
458,0.01946,0.02044,18.82899299627305,21.26167714873505
459,0.00056,0.00064,2.5980558175293043,3.33281985310066
460,9.91704,98.10894,3.0405821248978584,4.791676027638068
461,0.26886,0.27276,52.20925478661778,52.62537138034416
462,4.06872,5.35648,1.6572612214654807,1.8098055348026896
463,2e-05,6e-05,2.3583423300554904,22.63429328744061
464,0.35896,0.37754,603.8046095641405,626.59418935999
465,0.0652,0.07156,545.3057748981815,590.4569832089461
466,7.038,28.63996,0.7801160799601303,1.3733676954637737
467,1.42132,1.72026,423.6154079576809,450.04821058379
468,0.00492,0.0046,3.934581865535145,3.793931704079768
469,10.07296,123.97776,1.3354812437602093,2.6617115766455925
470,0.00308,0.0032,50.52099360446317,50.739285566828165
471,7.8439,34.49548,22.453440532144707,25.37974690764835
472,0.0005,0.00048,0.2335411904039412,0.2100928945586677
473,5.5733,11.02508,1.9469842435492213,2.4437689676494823
474,8.3679,27.86608,3.427389933777954,4.658115753597615
475,0.0,4e-05,0.0,2.1413190233334616
476,0.13516,0.1353,842.5879961958603,845.1633315463763
477,5.39568,14.94972,9.91282864741693,11.86949270784512
478,4.1582,6.5116,99.4260122215954,104.9322156096276
479,0.00134,0.0013,9.740815953110063,9.80046994885394
480,8.27774,49.95232,34.46630675883805,38.46625213066094
481,2e-05,4e-05,0.2022176248017367,0.3713572381189236
482,0.0,0.0,0.0,0.0
483,0.00724,0.0067,449.4632989123712,428.97047651570335
484,0.0054,0.00574,380.8173091897697,415.1214774464804
485,0.00054,0.0006,77.62282455676667,108.41894076439212
486,0.11078,0.11022,23.076183619621283,22.86910742029481
487,0.77062,0.85172,410.6522040309084,430.5041904181894
488,0.00016,0.00012,10.587948175646618,8.411528193658919
489,3.32964,4.10736,28.536881059604426,29.43020413885366
490,0.0,0.0,0.0,0.0
491,8.91806,48.79718,4.202837699088618,5.935374470023479
492,0.13198,0.13346,5.70481182245952,5.896680097895161
493,8e-05,0.0001,6.333928172540667,4.391572525500046
494,7.80478,30.76914,21.686974570447585,24.51897664696471
