,MyoV Time (s),MyoV Disp (um),MyoXI Time (s),MyoXI Disp (um)
514,,,0.8331382331357622,0.18
515,,,0.8349055490379902,0.18
516,,,0.8379297010124143,0.18
517,,,0.8379735364079304,0.18
518,,,0.8379735364079304,0.216
519,,,0.8384147911351336,0.216
520,,,0.8415035617568982,0.216
521,,,0.8416220166993256,0.216
522,,,0.8416220166993256,0.252
523,,,0.8492791591325934,0.252
524,,,0.8543184749196788,0.252
525,,,0.8621119973286442,0.252
526,,,0.8626778453974344,0.252
527,,,0.8628431937725649,0.252
528,,,0.8628431937725649,0.288
529,,,0.8634157366497552,0.288
530,,,0.8640772897101021,0.288
531,,,0.8642804150174586,0.288
532,,,0.8642804150174586,0.324
533,,,0.8680249879283837,0.324
534,,,0.8680343253475487,0.0
535,,,0.8744665642506666,0.0
536,,,0.8748664357208815,0.0
537,,,0.8767115466048674,0.0
538,,,0.8783772480894347,0.0
539,,,0.8784783976416568,0.0
540,,,0.8784783976416568,0.036
541,,,0.8793201093471614,0.036
542,,,0.8808626449434778,0.036
543,,,0.8838672240919747,0.036
544,,,0.8842564568657147,0.0
545,,,0.88934046133273,0.0
546,,,0.8897014552688782,0.0
547,,,0.8898678906338064,0.0
548,,,0.8898678906338064,0.036
549,,,0.8907751366870729,0.036
550,,,0.8923037314832518,0.036
551,,,0.8926558764934791,0.036
552,,,0.8935535505346008,0.036
553,,,0.8947159738867514,0.036
554,,,0.8947159738867514,0.072
555,,,0.9008928724919913,0.072
556,,,0.9010025164775515,0.072
557,,,0.9019839597532977,0.072
558,,,0.9019839597532977,0.108
559,,,0.9058382005836974,0.108
560,,,0.9059629718395419,0.108
561,,,0.9059999652686335,0.108
562,,,0.9059999652686335,0.144
563,,,0.9123831195986538,0.144
564,,,0.9126352806085949,0.144
565,,,0.9126592900366584,0.144
566,,,0.9126592900366584,0.18
567,,,0.9136002482335188,0.18
568,,,0.9165183206481595,0.18
569,,,0.9317595799189293,0.18
570,,,0.933468658669871,0.18
571,,,0.9341444233622687,0.18
572,,,0.9351903247951237,0.0
573,,,0.9365357038767224,0.0
574,,,0.9374265318603827,0.0
575,,,0.9382956950414423,0.0
576,,,0.9382956950414423,0.036
577,,,0.9386057469513114,0.036
578,,,0.9386263526275203,0.0
579,,,0.9388811157266295,0.0
580,,,0.9392900953801115,0.0
581,,,0.941074513162806,0.0
582,,,0.9413438147411393,0.0
583,,,0.942129624051339,0.0
584,,,0.9428473314814427,0.0
585,,,0.9428473314814427,0.036
586,,,0.9498157782337584,0.036
587,,,0.9518543422736352,0.036
588,,,0.9520253171114552,0.036
